f2,sigma_star,phi_star
5,0.21236353,0.099553941
8.6666667,0.20650484,0.084404519
12.333333,0.19997816,0.07394526
16,0.19407633,0.066360189
19.666667,0.18891241,0.060576139
23.333333,0.18439714,0.055989961
27,0.18042044,0.052243378
30.666667,0.17688856,0.049109811
34.333333,0.17372267,0.046440756
38,0.17086325,0.044132326
41.666667,0.16826269,0.042110476
45.333333,0.16588232,0.040321032
49,0.16369238,0.038722525
52.666667,0.1616646,0.037284762
56.333333,0.15978262,0.035981149
60,0.1580271,0.034792922
