S,sigma_star,phi_star
0.1,0.099298878,0.050858965
0.15,0.10541346,0.048659588
0.2,0.11120817,0.046406306
0.25,0.11683626,0.044113771
0.3,0.12240187,0.041801929
0.35,0.12798235,0.039490693
0.4,0.13364168,0.037197073
0.45,0.13942896,0.03493835
0.5,0.14538286,0.03273069
0.55,0.15153463,0.030588311
0.6,0.1579051,0.028524666
0.65,0.16451361,0.02654934
0.7,0.17136759,0.02467156
0.75,0.17847151,0.022897316
0.8,0.1858209,0.021231139
0.85,0.19340982,0.01967452
0.9,0.20122786,0.018227093
0.95,0.20926161,0.016886741
1,0.2174962,0.015649819
