r_minus_rf,flow_F
-0.4725,-0.70875
-0.46986842,-0.70480263
-0.46723684,-0.70085526
-0.46460526,-0.69690789
-0.46197368,-0.69296053
-0.45934211,-0.68901316
-0.45671053,-0.68506579
-0.45407895,-0.68111842
-0.45144737,-0.67717105
-0.44881579,-0.67322368
-0.44618421,-0.66927632
-0.44355263,-0.66532895
-0.44092105,-0.66138158
-0.43828947,-0.65743421
-0.43565789,-0.65348684
-0.43302632,-0.64953947
-0.43039474,-0.64559211
-0.42776316,-0.64164474
-0.42513158,-0.63769737
-0.4225,-0.63375
-0.41986842,-0.62980263
-0.41723684,-0.62585526
-0.41460526,-0.62190789
-0.41197368,-0.61796053
-0.40934211,-0.61401316
-0.40671053,-0.61006579
-0.40407895,-0.60611842
-0.40144737,-0.60217105
-0.39881579,-0.59822368
-0.39618421,-0.59427632
-0.39355263,-0.59032895
-0.39092105,-0.58638158
-0.38828947,-0.58243421
-0.38565789,-0.57848684
-0.38302632,-0.57453947
-0.38039474,-0.57059211
-0.37776316,-0.56664474
-0.37513158,-0.56269737
-0.3725,-0.55875
-0.36986842,-0.55480263
-0.36723684,-0.55085526
-0.36460526,-0.54690789
-0.36197368,-0.54296053
-0.35934211,-0.53901316
-0.35671053,-0.53506579
-0.35407895,-0.53111842
-0.35144737,-0.52717105
-0.34881579,-0.52322368
-0.34618421,-0.51927632
-0.34355263,-0.51532895
-0.34092105,-0.51138158
-0.33828947,-0.50743421
-0.33565789,-0.50348684
-0.33302632,-0.49953947
-0.33039474,-0.49559211
-0.32776316,-0.49164474
-0.32513158,-0.48769737
-0.3225,-0.48375
-0.31986842,-0.47980263
-0.31723684,-0.47585526
-0.31460526,-0.47190789
-0.31197368,-0.46796053
-0.30934211,-0.46401316
-0.30671053,-0.46006579
-0.30407895,-0.45611842
-0.30144737,-0.45217105
-0.29881579,-0.44822368
-0.29618421,-0.44427632
-0.29355263,-0.44032895
-0.29092105,-0.43638158
-0.28828947,-0.43243421
-0.28565789,-0.42848684
-0.28302632,-0.42453947
-0.28039474,-0.42059211
-0.27776316,-0.41664474
-0.27513158,-0.41269737
-0.2725,-0.40875
-0.26986842,-0.40480263
-0.26723684,-0.40085526
-0.26460526,-0.39690789
-0.26197368,-0.39296053
-0.25934211,-0.38901316
-0.25671053,-0.38506579
-0.25407895,-0.38111842
-0.25144737,-0.37717105
-0.24881579,-0.37322368
-0.24618421,-0.36927632
-0.24355263,-0.36532895
-0.24092105,-0.36138158
-0.23828947,-0.35743421
-0.23565789,-0.35348684
-0.23302632,-0.34953947
-0.23039474,-0.34559211
-0.22776316,-0.34164474
-0.22513158,-0.33769737
-0.2225,-0.33375
-0.21986842,-0.32980263
-0.21723684,-0.32585526
-0.21460526,-0.32190789
-0.21197368,-0.31796053
-0.20934211,-0.31401316
-0.20671053,-0.31006579
-0.20407895,-0.30611842
-0.20144737,-0.30217105
-0.19881579,-0.29822368
-0.19618421,-0.29427632
-0.19355263,-0.29032895
-0.19092105,-0.28638158
-0.18828947,-0.28243421
-0.18565789,-0.27848684
-0.18302632,-0.27453947
-0.18039474,-0.27059211
-0.17776316,-0.26664474
-0.17513158,-0.26269737
-0.1725,-0.25875
-0.16986842,-0.25480263
-0.16723684,-0.25085526
-0.16460526,-0.24690789
-0.16197368,-0.24296053
-0.15934211,-0.23901316
-0.15671053,-0.23506579
-0.15407895,-0.23111842
-0.15144737,-0.22717105
-0.14881579,-0.22322368
-0.14618421,-0.21927632
-0.14355263,-0.21532895
-0.14092105,-0.21138158
-0.13828947,-0.20743421
-0.13565789,-0.20348684
-0.13302632,-0.19953947
-0.13039474,-0.19559211
-0.12776316,-0.19164474
-0.12513158,-0.18769737
-0.1225,-0.18375
-0.11986842,-0.17980263
-0.11723684,-0.17585526
-0.11460526,-0.17190789
-0.11197368,-0.16796053
-0.10934211,-0.16401316
-0.10671053,-0.16006579
-0.10407895,-0.15611842
-0.10144737,-0.15217105
-0.098815789,-0.14822368
-0.096184211,-0.14427632
-0.093552632,-0.14032895
-0.090921053,-0.13638158
-0.088289474,-0.13243421
-0.085657895,-0.12848684
-0.083026316,-0.12453947
-0.080394737,-0.12059211
-0.077763158,-0.11664474
-0.075131579,-0.11269737
-0.0725,-0.10875
-0.069868421,-0.10480263
-0.067236842,-0.10085526
-0.064605263,-0.096907895
-0.061973684,-0.092960526
-0.059342105,-0.089013158
-0.056710526,-0.085065789
-0.054078947,-0.081118421
-0.051447368,-0.077171053
-0.048815789,-0.073223684
-0.046184211,-0.069276316
-0.043552632,-0.065328947
-0.040921053,-0.061381579
-0.038289474,-0.057434211
-0.035657895,-0.053486842
-0.033026316,-0.049539474
-0.030394737,-0.045592105
-0.027763158,-0.041644737
-0.025131579,-0.037697368
-0.0225,-0.03375
-0.019868421,-0.029802632
-0.017236842,-0.025855263
-0.014605263,-0.021907895
-0.011973684,-0.017960526
-0.0093421053,-0.014013158
-0.0067105263,-0.010065789
-0.0040789474,-0.0061184211
-0.0014473684,-0.0021710526
0.0011842105,0.0018113747
0.0038157895,0.0060876904
0.0064473684,0.010710267
0.0090789474,0.015679103
0.011710526,0.0209942
0.014342105,0.026655557
0.016973684,0.032663175
0.019605263,0.039017053
0.022236842,0.045717192
0.024868421,0.052763591
0.0275,0.06015625
0.030131579,0.06789517
0.032763158,0.07598035
0.035394737,0.08441179
0.038026316,0.093189491
0.040657895,0.10231345
0.043289474,0.11178367
0.045921053,0.12160016
0.048552632,0.1317629
0.051184211,0.1422719
0.053815789,0.15312716
0.056447368,0.16432869
0.059078947,0.17587647
0.061710526,0.18777052
0.064342105,0.20001082
0.066973684,0.21259739
0.069605263,0.22553021
0.072236842,0.2388093
0.074868421,0.25243464
0.0775,0.26640625
0.080131579,0.28072412
0.082763158,0.29538824
0.085394737,0.31039863
0.088026316,0.32575528
0.090657895,0.34145819
0.093289474,0.35750736
0.095921053,0.37390279
0.098552632,0.39064448
0.10118421,0.40773243
0.10381579,0.42516664
0.10644737,0.44294711
0.10907895,0.46107384
0.11171053,0.47954683
