sigma,UM_at_phi_star
0.01,0.041371702
0.010977444,0.041420465
0.011954887,0.041470551
0.012932331,0.041521946
0.013909774,0.041574635
0.014887218,0.041628602
0.015864662,0.041683834
0.016842105,0.041740314
0.017819549,0.041798025
0.018796992,0.041856952
0.019774436,0.041917078
0.02075188,0.041978385
0.021729323,0.042040856
0.022706767,0.042104473
0.023684211,0.042169218
0.024661654,0.042235071
0.025639098,0.042302014
0.026616541,0.042370028
0.027593985,0.042439092
0.028571429,0.042509186
0.029548872,0.04258029
0.030526316,0.042652383
0.031503759,0.042725443
0.032481203,0.042799449
0.033458647,0.042874378
0.03443609,0.042950209
0.035413534,0.043026918
0.036390977,0.043104481
0.037368421,0.043182877
0.038345865,0.043262079
0.039323308,0.043342065
0.040300752,0.04342281
0.041278195,0.043504287
0.042255639,0.043586473
0.043233083,0.04366934
0.044210526,0.043752864
0.04518797,0.043837016
0.046165414,0.043921771
0.047142857,0.0440071
0.048120301,0.044092977
0.049097744,0.044179373
0.050075188,0.044266259
0.051052632,0.044353608
0.052030075,0.044441388
0.053007519,0.044529572
0.053984962,0.044618128
0.054962406,0.044707027
0.05593985,0.044796238
0.056917293,0.04488573
0.057894737,0.044975471
0.05887218,0.045065429
0.059849624,0.045155573
0.060827068,0.045245869
0.061804511,0.045336285
0.062781955,0.045426787
0.063759398,0.045517341
0.064736842,0.045607914
0.065714286,0.045698471
0.066691729,0.045788977
0.067669173,0.045879397
0.068646617,0.045969695
0.06962406,0.046059835
0.070601504,0.046149781
0.071578947,0.046239496
0.072556391,0.046328943
0.073533835,0.046418085
0.074511278,0.046506883
0.075488722,0.0465953
0.076466165,0.046683297
0.077443609,0.046770835
0.078421053,0.046857874
0.079398496,0.046944375
0.08037594,0.047030297
0.081353383,0.047115601
0.082330827,0.047200244
0.083308271,0.047284187
0.084285714,0.047367387
0.085263158,0.047449803
0.086240602,0.047531392
0.087218045,0.047612111
0.088195489,0.047691917
0.089172932,0.047770767
0.090150376,0.047848617
0.09112782,0.047925422
0.092105263,0.048001138
0.093082707,0.04807572
0.09406015,0.048149123
0.095037594,0.048221301
0.096015038,0.048292207
0.096992481,0.048361796
0.097969925,0.048430019
0.098947368,0.048496831
0.099924812,0.048562184
0.10090226,0.048626029
0.1018797,0.048688317
0.10285714,0.048749002
0.10383459,0.048808032
0.10481203,0.048865359
0.10578947,0.048920933
0.10676692,0.048974704
0.10774436,0.04902662
0.1087218,0.049076632
0.10969925,0.049124687
0.11067669,0.049170734
0.11165414,0.04921472
0.11263158,0.049256594
0.11360902,0.049296302
0.11458647,0.04933379
0.11556391,0.049369007
0.11654135,0.049401896
0.1175188,0.049432405
0.11849624,0.049460478
0.11947368,0.04948606
0.12045113,0.049509095
0.12142857,0.049529528
0.12240602,0.049547303
0.12338346,0.049562363
0.1243609,0.04957465
0.12533835,0.049584107
0.12631579,0.049590678
0.12729323,0.049594302
0.12827068,0.049594923
0.12924812,0.049592481
0.13022556,0.049586916
0.13120301,0.04957817
0.13218045,0.049566182
0.13315789,0.049550892
0.13413534,0.049532238
0.13511278,0.049510161
0.13609023,0.049484598
0.13706767,0.049455487
0.13804511,0.049422766
0.13902256,0.049386373
0.14,0.049346245
0.14097744,0.049302317
0.14195489,0.049254527
0.14293233,0.04920281
0.14390977,0.049147102
0.14488722,0.049087337
0.14586466,0.049023451
0.14684211,0.048955378
0.14781955,0.048883052
0.14879699,0.048806405
0.14977444,0.048725373
0.15075188,0.048639887
0.15172932,0.04854988
0.15270677,0.048455284
0.15368421,0.048356031
0.15466165,0.048252052
0.1556391,0.048143278
0.15661654,0.04802964
0.15759398,0.047911067
0.15857143,0.04778749
0.15954887,0.047658839
0.16052632,0.047525042
0.16150376,0.047386028
0.1624812,0.047241725
0.16345865,0.047092061
0.16443609,0.046936965
0.16541353,0.046776362
0.16639098,0.046610181
0.16736842,0.046438347
0.16834586,0.046260786
0.16932331,0.046077425
0.17030075,0.045888188
0.1712782,0.045693001
0.17225564,0.045491788
0.17323308,0.045284473
0.17421053,0.04507098
0.17518797,0.044851233
0.17616541,0.044625155
0.17714286,0.044392668
0.1781203,0.044153695
0.17909774,0.043908157
0.18007519,0.043655977
0.18105263,0.043397076
0.18203008,0.043131373
0.18300752,0.042858791
0.18398496,0.042579248
0.18496241,0.042292665
0.18593985,0.041998961
0.18691729,0.041698055
0.18789474,0.041389865
0.18887218,0.041074309
0.18984962,0.040751307
0.19082707,0.040420774
0.19180451,0.040082628
0.19278195,0.039736785
0.1937594,0.039383163
0.19473684,0.039021677
0.19571429,0.038652242
0.19669173,0.038274774
0.19766917,0.037889188
0.19864662,0.037495397
0.19962406,0.037093317
0.2006015,0.036682861
0.20157895,0.036263941
0.20255639,0.035836472
0.20353383,0.035400365
0.20451128,0.034955533
0.20548872,0.034501887
0.20646617,0.03403934
0.20744361,0.033567802
0.20842105,0.033087184
0.2093985,0.032597395
0.21037594,0.032098347
0.21135338,0.031589949
0.21233083,0.031072109
0.21330827,0.030544737
0.21428571,0.030007741
0.21526316,0.029461029
0.2162406,0.02890451
0.21721805,0.028338089
0.21819549,0.027761674
0.21917293,0.027175172
0.22015038,0.026578489
0.22112782,0.025971531
0.22210526,0.025354202
0.22308271,0.024726409
0.22406015,0.024088056
0.22503759,0.023439046
0.22601504,0.022779285
0.22699248,0.022108676
0.22796992,0.021427121
0.22894737,0.020734524
0.22992481,0.020030787
0.23090226,0.019315812
0.2318797,0.018589501
0.23285714,0.017851755
0.23383459,0.017102475
0.23481203,0.016341561
0.23578947,0.015568915
0.23676692,0.014784434
0.23774436,0.01398802
0.2387218,0.013179571
0.23969925,0.012358986
0.24067669,0.011526162
0.24165414,0.010680999
0.24263158,0.0098233929
0.24360902,0.0089532416
0.24458647,0.0080704417
0.24556391,0.0071748898
0.24654135,0.0062664817
0.2475188,0.0053451133
0.24849624,0.0044106798
0.24947368,0.003463076
0.25045113,0.0025021967
0.25142857,0.0015279358
0.25240602,0.00054018732
0.25338346,-0.00046115544
0.2543609,-0.0014761994
0.25533835,-0.0025050519
0.25631579,-0.0035478207
0.25729323,-0.0046046138
0.25827068,-0.0056755397
0.25924812,-0.0067607072
0.26022556,-0.0078602256
0.26120301,-0.0089742044
0.26218045,-0.010102754
0.26315789,-0.011245983
0.26413534,-0.012404005
0.26511278,-0.013576929
0.26609023,-0.014764866
0.26706767,-0.01596793
0.26804511,-0.017186232
0.26902256,-0.018419884
0.27,-0.019669
0.27097744,-0.020933693
0.27195489,-0.022214076
0.27293233,-0.023510265
0.27390977,-0.024822372
0.27488722,-0.026150513
0.27586466,-0.027494804
0.27684211,-0.02885536
0.27781955,-0.030232296
0.27879699,-0.03162573
0.27977444,-0.033035777
0.28075188,-0.034462556
0.28172932,-0.035906183
0.28270677,-0.037366776
0.28368421,-0.038844454
0.28466165,-0.040339335
0.2856391,-0.041851538
0.28661654,-0.043381182
0.28759398,-0.044928388
0.28857143,-0.046493275
0.28954887,-0.048075963
0.29052632,-0.049676575
0.29150376,-0.05129523
0.2924812,-0.05293205
0.29345865,-0.054587158
0.29443609,-0.056260676
0.29541353,-0.057952726
0.29639098,-0.059663432
0.29736842,-0.061392917
0.29834586,-0.063141304
0.29932331,-0.064908719
0.30030075,-0.066695286
0.3012782,-0.068501129
0.30225564,-0.070326375
0.30323308,-0.072171148
0.30421053,-0.074035575
0.30518797,-0.075919783
0.30616541,-0.077823898
0.30714286,-0.079748048
0.3081203,-0.081692359
0.30909774,-0.083656961
0.31007519,-0.085641981
0.31105263,-0.087647549
0.31203008,-0.089673792
0.31300752,-0.091720842
0.31398496,-0.093788827
0.31496241,-0.095877878
0.31593985,-0.097988126
0.31691729,-0.1001197
0.31789474,-0.10227274
0.31887218,-0.10444736
0.31984962,-0.10664371
0.32082707,-0.10886191
0.32180451,-0.1111021
0.32278195,-0.11336441
0.3237594,-0.11564898
0.32473684,-0.11795594
0.32571429,-0.12028542
0.32669173,-0.12263755
0.32766917,-0.12501248
0.32864662,-0.12741034
0.32962406,-0.12983127
0.3306015,-0.13227539
0.33157895,-0.13474285
0.33255639,-0.13723379
0.33353383,-0.13974834
0.33451128,-0.14228664
0.33548872,-0.14484882
0.33646617,-0.14743503
0.33744361,-0.15004541
0.33842105,-0.15268009
0.3393985,-0.15533922
0.34037594,-0.15802292
0.34135338,-0.16073136
0.34233083,-0.16346466
0.34330827,-0.16622296
0.34428571,-0.16900641
0.34526316,-0.17181515
0.3462406,-0.17464933
0.34721805,-0.17750908
0.34819549,-0.18039454
0.34917293,-0.18330587
0.35015038,-0.1862432
0.35112782,-0.18920668
0.35210526,-0.19219645
0.35308271,-0.19521266
0.35406015,-0.19825546
0.35503759,-0.20132498
0.35601504,-0.20442138
0.35699248,-0.2075448
0.35796992,-0.21069538
0.35894737,-0.21387329
0.35992481,-0.21707865
0.36090226,-0.22031163
0.3618797,-0.22357237
0.36285714,-0.22686101
0.36383459,-0.23017771
0.36481203,-0.23352262
0.36578947,-0.23689588
0.36676692,-0.24029765
0.36774436,-0.24372807
0.3687218,-0.2471873
0.36969925,-0.25067549
0.37067669,-0.25419279
0.37165414,-0.25773935
0.37263158,-0.26131533
0.37360902,-0.26492088
0.37458647,-0.26855614
0.37556391,-0.27222128
0.37654135,-0.27591645
0.3775188,-0.2796418
0.37849624,-0.28339748
0.37947368,-0.28718366
0.38045113,-0.29100049
0.38142857,-0.29484812
0.38240602,-0.2987267
0.38338346,-0.30263641
0.3843609,-0.30657738
0.38533835,-0.31054979
0.38631579,-0.31455379
0.38729323,-0.31858953
0.38827068,-0.32265717
0.38924812,-0.32675688
0.39022556,-0.3308888
0.39120301,-0.33505311
0.39218045,-0.33924997
0.39315789,-0.34347952
0.39413534,-0.34774193
0.39511278,-0.35203737
0.39609023,-0.356366
0.39706767,-0.36072797
0.39804511,-0.36512344
0.39902256,-0.36955259
0.4,-0.37401558
