sigma,phi_f2_5,phi_f2_15,phi_f2_25,phi_f2_50
0.01,0.95337458,0.97719514,0.98495605,0.9635632
0.011959799,0.79984433,0.82015168,0.82315906,0.7913411
0.013919598,0.68939397,0.70644456,0.70535976,0.66584997
0.015879397,0.60607768,0.62010938,0.61550763,0.57041051
0.017839196,0.54095668,0.55219012,0.54457173,0.49551029
0.019798995,0.48863131,0.49727108,0.48707126,0.43529866
0.021758794,0.44564715,0.45188305,0.43948042,0.3859647
0.023718593,0.40969143,0.41369951,0.39942357,0.3449122
0.025678392,0.37915733,0.38110096,0.3652385,0.31030775
0.027638191,0.35289372,0.3529245,0.33572524,0.28081801
0.02959799,0.33005428,0.32831293,0.30999435,0.25544938
0.031557789,0.31000287,0.30662005,0.28737156,0.23344606
0.033517588,0.29225207,0.28734914,0.26733574,0.21422289
0.035477387,0.27642211,0.2701118,0.24947724,0.19731994
0.037437186,0.26221269,0.25459979,0.23346927,0.18237084
0.039396985,0.24938324,0.24056513,0.21904769,0.16908033
0.041356784,0.23773873,0.22780598,0.20599654,0.15720796
0.043316583,0.2271194,0.21615624,0.1941374,0.14655609
0.045276382,0.21739311,0.20547794,0.18332148,0.13696088
0.047236181,0.20844963,0.1956554,0.17342369,0.12828548
0.04919598,0.20019625,0.18659089,0.16433804,0.1204148
0.051155779,0.19255444,0.17820122,0.15597409,0.1132514
0.053115578,0.18545726,0.1704151,0.1482542,0.1067123
0.055075377,0.17884724,0.16317107,0.14111135,0.10072648
0.057035176,0.17267481,0.15641583,0.13448734,0.095232825
0.058994975,0.16689695,0.1501029,0.12833142,0.090178483
0.060954774,0.16147617,0.14419156,0.12259908,0.085517578
0.062914573,0.15637963,0.13864599,0.1172512,0.081210104
0.064874372,0.15157842,0.1334345,0.11225319,0.077221047
0.066834171,0.14704702,0.128529,0.10757438,0.073519647
0.06879397,0.14276282,0.12390445,0.10318751,0.070078792
0.070753769,0.13870568,0.11953847,0.099068216,0.066874503
0.072713568,0.13485761,0.11541101,0.09519471,0.063885512
0.074673367,0.13120252,0.11150402,0.091547423,0.061092897
0.076633166,0.12772594,0.10780121,0.088108742,0.058479778
0.078592965,0.12441484,0.10428787,0.08486277,0.056031057
0.080552764,0.12125743,0.10095063,0.081795131,0.053733196
0.082512563,0.11824305,0.09777737,0.078892789,0.051574025
0.084472362,0.11536201,0.094757013,0.076143899,0.049542583
0.086432161,0.1126055,0.091879466,0.073537679,0.047628972
0.08839196,0.10996547,0.089135483,0.071064292,0.045824237
0.090351759,0.10743457,0.086516592,0.068714748,0.044120259
0.092311558,0.10500605,0.084015008,0.066480816,0.042509664
0.094271357,0.10267374,0.081623567,0.06435495,0.040985744
0.096231156,0.10043195,0.079335667,0.062330213,0.03954238
0.098190955,0.09827544,0.07714521,0.060400229,0.038173986
0.10015075,0.096199375,0.075046558,0.058559117,0.036875454
0.10211055,0.094199286,0.073034489,0.056801456,0.035642104
0.10407035,0.092271034,0.071104162,0.055122232,0.034469639
0.10603015,0.090410782,0.069251077,0.05351681,0.033354115
0.10798995,0.088614967,0.067471054,0.051980893,0.032291901
0.10994975,0.086880274,0.065760197,0.050510497,0.031279649
0.11190955,0.085203617,0.064114877,0.04910192,0.030314274
0.11386935,0.083582118,0.062531704,0.047751722,0.029392922
0.11582915,0.08201309,0.061007513,0.046456701,0.028512957
0.11778894,0.080494021,0.059539342,0.045213872,0.027671933
0.11974874,0.079022559,0.058124419,0.044020452,0.026867586
0.12170854,0.077596502,0.056760143,0.042873841,0.026097813
0.12366834,0.076213782,0.055444078,0.04177161,0.02536066
0.12562814,0.074872459,0.054173932,0.040711487,0.024654307
0.12758794,0.073570708,0.052947553,0.039691344,0.023977063
0.12954774,0.072306812,0.051762916,0.038709185,0.023327349
0.13150754,0.071079154,0.050618115,0.037763141,0.022703692
0.13346734,0.06988621,0.049511352,0.036851454,0.022104717
0.13542714,0.06872654,0.048440933,0.035972474,0.021529139
0.13738693,0.067598786,0.047405258,0.035124649,0.020975753
0.13934673,0.066501662,0.046402817,0.034306519,0.020443434
0.14130653,0.065433953,0.045432182,0.033516709,0.019931125
0.14326633,0.064394509,0.044492002,0.03275392,0.019437835
0.14522613,0.063382238,0.043580999,0.032016932,0.018962634
0.14718593,0.062396105,0.042697961,0.03130459,0.01850465
0.14914573,0.061435129,0.041841741,0.030615803,0.018063058
0.15110553,0.060498378,0.04101125,0.029949541,0.017637087
0.15306533,0.059584965,0.040205455,0.029304831,0.017226009
0.15502513,0.058694047,0.039423375,0.028680751,0.016829136
0.15698492,0.057824821,0.038664078,0.028076427,0.016445821
0.15894472,0.056976523,0.037926678,0.027491031,0.016075455
0.16090452,0.056148426,0.037210331,0.026923781,0.01571746
0.16286432,0.055339835,0.036514237,0.026373932,0.015371291
0.16482412,0.054550087,0.03583763,0.025840778,0.015036434
0.16678392,0.053778549,0.035179784,0.025323649,0.0147124
0.16874372,0.053024618,0.034540004,0.024821907,0.014398728
0.17070352,0.052287716,0.03391763,0.024334947,0.01409498
0.17266332,0.05156729,0.033312029,0.023862192,0.013800744
0.17462312,0.050862812,0.0327226,0.023403096,0.013515624
0.17658291,0.050173776,0.032148767,0.022957135,0.01323925
0.17854271,0.049499697,0.03158998,0.022523813,0.012971266
0.18050251,0.048840112,0.031045714,0.022102655,0.012711337
0.18246231,0.048194574,0.030515466,0.021693211,0.012459142
0.18442211,0.047562658,0.029998755,0.021295048,0.012214379
0.18638191,0.046943952,0.029495122,0.020907756,0.011976757
0.18834171,0.046338064,0.029004125,0.020530942,0.011746002
0.19030151,0.045744615,0.028525343,0.020164231,0.011521852
0.19226131,0.045163243,0.028058371,0.019807264,0.011304057
0.19422111,0.044593598,0.027602821,0.0194597,0.011092379
0.1961809,0.044035345,0.027158322,0.01912121,0.01088659
0.1981407,0.04348816,0.026724517,0.01879148,0.010686476
0.2001005,0.042951734,0.026301063,0.018470211,0.010491828
0.2020603,0.042425765,0.025887633,0.018157115,0.01030245
0.2040201,0.041909966,0.02548391,0.017851918,0.010118153
0.2059799,0.04140406,0.025089592,0.017554355,0.0099387569
0.2079397,0.040907778,0.024704387,0.017264174,0.0097640895
