sigma,UI_along_IC_curve,UM_at_phi_star
0.01,-0.98434682,0.041371702
0.011879131,-0.82176818,0.041466622
0.013758262,-0.70191536,0.041566383
0.015637393,-0.60961593,0.04167088
0.017516524,-0.53617812,0.041780003
0.019395654,-0.47625548,0.041893637
0.021274785,-0.42637263,0.042011662
0.023153916,-0.38416847,0.042133953
0.025033047,-0.34797987,0.04226038
0.026912178,-0.31659952,0.042390807
0.028791309,-0.28912844,0.042525094
0.03067044,-0.26488241,0.042663096
0.032549571,-0.24333084,0.04280466
0.034428702,-0.22405537,0.042949632
0.036307833,-0.2067214,0.043097851
0.038186963,-0.19105785,0.04324915
0.040066094,-0.17684257,0.043403357
0.041945225,-0.16389171,0.043560297
0.043824356,-0.15205163,0.043719788
0.045703487,-0.14119295,0.043881644
0.047582618,-0.13120585,0.044045671
0.049461749,-0.12199652,0.044211674
0.05134088,-0.11348426,0.044379451
0.053220011,-0.10559932,0.044548793
0.055099141,-0.098281048,0.044719489
0.056978272,-0.091476467,0.044891322
0.058857403,-0.085139091,0.045064068
0.060736534,-0.079227961,0.0452375
0.062615665,-0.073706844,0.045411385
0.064494796,-0.068543574,0.045585486
0.066373927,-0.063709498,0.045759558
0.068253058,-0.059179011,0.045933354
0.070132189,-0.054929162,0.04610662
0.07201132,-0.050939324,0.046279098
0.07389045,-0.047190907,0.046450525
0.075769581,-0.043667115,0.04662063
0.077648712,-0.04035274,0.046789141
0.079527843,-0.037233974,0.046955779
0.081406974,-0.034298263,0.047120259
0.083286105,-0.031534159,0.047282292
0.085165236,-0.028931212,0.047441583
0.087044367,-0.02647986,0.047597834
0.088923498,-0.024171338,0.047750738
0.090802629,-0.021997601,0.047899988
0.092681759,-0.019951251,0.048045267
0.09456089,-0.018025474,0.048186255
0.096440021,-0.016213986,0.048322628
0.098319152,-0.014510983,0.048454055
0.10019828,-0.012911095,0.0485802
0.10207741,-0.01140935,0.048700724
0.10395654,-0.010001139,0.048815279
0.10583568,-0.0086821791,0.048923516
0.10771481,-0.0074484921,0.049025078
0.10959394,-0.0062963746,0.049119605
0.11147307,-0.0052223763,0.04920673
0.1133522,-0.0042232797,0.049286081
0.11523133,-0.0032960807,0.049357283
0.11711046,-0.002437972,0.049419953
0.11898959,-0.0016463273,0.049473705
0.12086872,-0.0009186878,0.049518147
0.12274785,-0.00025274897,0.049552881
0.12462698,0.00035365079,0.049577507
0.12650612,0.0009025408,0.049591616
0.12838525,0.0013958278,0.049594796
0.13026438,0.0018353049,0.04958663
0.13214351,0.0022226596,0.049566695
0.13402264,0.002559481,0.049534563
0.13590177,0.0028472672,0.0494898
0.1377809,0.0030874311,0.049431971
0.13966003,0.0032813062,0.04936063
0.14153916,0.0034301523,0.049275329
0.14341829,0.0035351599,0.049175616
0.14529742,0.0035974552,0.049061032
0.14717656,0.0036181037,0.048931112
0.14905569,0.0035981149,0.048785389
0.15093482,0.003538445,0.048623387
0.15281395,0.0034400007,0.048444629
0.15469308,0.0033036424,0.04824863
0.15657221,0.0031301865,0.0480349
0.15845134,0.0029204087,0.047802945
0.16033047,0.002675046,0.047552265
0.1622096,0.002394799,0.047282357
0.16408873,0.0020803345,0.046992709
0.16596786,0.0017322868,0.046682806
0.167847,0.0013512603,0.04635213
0.16972613,0.0009378304,0.046000154
0.17160526,0.00049254589,0.045626347
0.17348439,1.5929979e-05,0.045230176
0.17536352,-0.00049151813,0.044811098
0.17724265,-0.001029322,0.044368568
0.17912178,-0.0015970265,0.043902036
0.18100091,-0.002194197,0.043410945
0.18288004,-0.0028204181,0.042894733
0.18475917,-0.0034752925,0.042352836
0.1866383,-0.0041584402,0.041784681
0.18851744,-0.0048694977,0.041189691
0.19039657,-0.0056081169,0.040567286
0.1922757,-0.0063739643,0.039916877
0.19415483,-0.0071667207,0.039237874
0.19603396,-0.00798608,0.03852968
0.19791309,-0.0088317486,0.037791691
0.19979222,-0.0097034453,0.037023301
0.20167135,-0.0106009,0.036223897
0.20355048,-0.011523853,0.035392862
0.20542961,-0.012472056,0.034529573
0.20730874,-0.013445271,0.033633401
0.20918787,-0.014443266,0.032703715
0.21106701,-0.015465823,0.031739876
0.21294614,-0.016512727,0.030741241
0.21482527,-0.017583777,0.029707161
0.2167044,-0.018678774,0.028636983
0.21858353,-0.019797531,0.027530048
0.22046266,-0.020939866,0.026385693
0.22234179,-0.022105604,0.025203248
0.22422092,-0.023294575,0.02398204
0.22610005,-0.024506619,0.02272139
0.22797918,-0.025741577,0.021420612
0.22985831,-0.0269993,0.020079018
0.23173745,-0.028279642,0.018695914
0.23361658,-0.029582462,0.017270599
0.23549571,-0.030907626,0.015802369
0.23737484,-0.032255002,0.014290514
0.23925397,-0.033624466,0.012734319
0.2411331,-0.035015894,0.011133063
0.24301223,-0.036429169,0.0094860215
0.24489136,-0.037864179,0.007792464
0.24677049,-0.039320813,0.0060516547
0.24864962,-0.040798965,0.0042628531
0.25052875,-0.042298533,0.0024253132
0.25240789,-0.043819418,0.00053828413
0.25428702,-0.045361524,-0.0013989902
0.25616615,-0.046924758,-0.0033872711
0.25804528,-0.04850903,-0.0054273248
0.25992441,-0.050114255,-0.0075199228
0.26180354,-0.051740347,-0.0096658417
0.26368267,-0.053387226,-0.011865863
0.2655618,-0.055054813,-0.014120775
0.26744093,-0.056743031,-0.016431367
0.26932006,-0.058451807,-0.018798439
0.27119919,-0.060181069,-0.021222791
0.27307833,-0.061930748,-0.023705232
0.27495746,-0.063700776,-0.026246573
0.27683659,-0.065491088,-0.028847633
0.27871572,-0.067301621,-0.031509234
0.28059485,-0.069132314,-0.034232204
0.28247398,-0.070983107,-0.037017377
0.28435311,-0.072853942,-0.03986559
0.28623224,-0.074744764,-0.042777686
0.28811137,-0.076655517,-0.045754515
0.2899905,-0.07858615,-0.048796929
0.29186963,-0.08053661,-0.051905788
0.29374877,-0.082506849,-0.055081954
0.2956279,-0.084496817,-0.058326298
0.29750703,-0.086506469,-0.061639693
0.29938616,-0.088535757,-0.065023018
0.30126529,-0.090584638,-0.068477158
0.30314442,-0.092653069,-0.072003002
0.30502355,-0.094741007,-0.075601445
0.30690268,-0.096848412,-0.079273386
0.30878181,-0.098975245,-0.08301973
0.31066094,-0.10112147,-0.086841388
0.31254007,-0.10328704,-0.090739274
0.31441921,-0.10547193,-0.094714308
0.31629834,-0.10767609,-0.098767417
0.31817747,-0.1098995,-0.10289953
0.3200566,-0.11214213,-0.10711158
0.32193573,-0.11440393,-0.11140452
0.32381486,-0.11668487,-0.11577928
0.32569399,-0.11898494,-0.12023682
0.32757312,-0.12130408,-0.12477809
0.32945225,-0.12364229,-0.12940406
0.33133138,-0.12599952,-0.13411569
0.33321051,-0.12837575,-0.13891395
0.33508964,-0.13077095,-0.14379982
0.33696878,-0.13318509,-0.14877429
0.33884791,-0.13561816,-0.15383833
0.34072704,-0.13807012,-0.15899294
0.34260617,-0.14054095,-0.16423912
0.3444853,-0.14303062,-0.16957787
0.34636443,-0.14553912,-0.1750102
0.34824356,-0.14806642,-0.18053712
0.35012269,-0.15061249,-0.18615965
0.35200182,-0.15317732,-0.1918788
0.35388095,-0.15576088,-0.19769562
0.35576008,-0.15836316,-0.20361112
0.35763922,-0.16098413,-0.20962636
0.35951835,-0.16362377,-0.21574237
0.36139748,-0.16628207,-0.2219602
0.36327661,-0.168959,-0.22828091
0.36515574,-0.17165455,-0.23470555
0.36703487,-0.1743687,-0.24123519
0.368914,-0.17710144,-0.2478709
0.37079313,-0.17985273,-0.25461375
0.37267226,-0.18262258,-0.26146481
0.37455139,-0.18541096,-0.26842519
0.37643052,-0.18821785,-0.27549595
0.37830966,-0.19104324,-0.28267821
0.38018879,-0.19388712,-0.28997305
0.38206792,-0.19674947,-0.29738159
0.38394705,-0.19963028,-0.30490493
