sigma,UI_at_phi_ic,UI_at_phi_market
0.01,-0.00082071074,0.0194499
0.011054654,-0.00051737451,0.019758331
0.012109308,-0.00021916917,0.020061421
0.013163962,7.3905278e-05,0.02035917
0.014218616,0.00036184883,0.020651577
0.01527327,0.00064466148,0.020938644
0.016327923,0.00092234325,0.021220369
0.017382577,0.0011948941,0.021496752
0.018437231,0.0014623141,0.021767795
0.019491885,0.0017246032,0.022033496
0.020546539,0.0019817613,0.022293856
0.021601193,0.0022337886,0.022548875
0.022655847,0.002480685,0.022798552
0.023710501,0.0027224505,0.023042889
0.024765155,0.0029590851,0.023281884
0.025819809,0.0031905888,0.023515538
0.026874463,0.0034169617,0.02374385
0.027929116,0.0036382036,0.023966822
0.02898377,0.0038543146,0.024184452
0.030038424,0.0040652947,0.024396741
0.031093078,0.004271144,0.024603688
0.032147732,0.0044718623,0.024805295
0.033202386,0.0046674498,0.02500156
0.03425704,0.0048579063,0.025192484
0.035311694,0.005043232,0.025378066
0.036366348,0.0052234267,0.025558308
0.037421002,0.0053984906,0.025733208
0.038475656,0.0055684236,0.025902767
0.039530309,0.0057332257,0.026066985
0.040584963,0.0058928969,0.026225861
0.041639617,0.0060474372,0.026379396
0.042694271,0.0061968465,0.02652759
0.043748925,0.006341125,0.026670443
0.044803579,0.0064802727,0.026807955
0.045858233,0.0066142894,0.026940125
0.046912887,0.0067431752,0.027066954
0.047967541,0.0068669301,0.027188442
0.049022195,0.0069855541,0.027304588
0.050076849,0.0070990473,0.027415394
0.051131502,0.0072074095,0.027520858
0.052186156,0.0073106409,0.02762098
0.05324081,0.0074087413,0.027715762
0.054295464,0.0075017109,0.027805202
0.055350118,0.0075895495,0.027889301
0.056404772,0.0076722573,0.027968059
0.057459426,0.0077498342,0.028041476
0.05851408,0.0078222801,0.028109551
0.059568734,0.0078895952,0.028172286
0.060623388,0.0079517794,0.028229678
0.061678042,0.0080088327,0.02828173
0.062732695,0.0080607551,0.028328441
0.063787349,0.0081075466,0.02836981
0.064842003,0.0081492072,0.028405838
0.065896657,0.0081857369,0.028436524
0.066951311,0.0082171358,0.02846187
0.068005965,0.0082434037,0.028481874
0.069060619,0.0082645407,0.028496537
0.070115273,0.0082805469,0.028505859
0.071169927,0.0082914221,0.028509839
0.072224581,0.0082971665,0.028508479
0.073279235,0.0082977799,0.028501777
0.074333888,0.0082932625,0.028489733
0.075388542,0.0082836141,0.028472349
0.076443196,0.0082688349,0.028449623
0.07749785,0.0082489248,0.028421556
0.078552504,0.0082238838,0.028388148
0.079607158,0.0081937118,0.028349399
0.080661812,0.008158409,0.028305308
0.081716466,0.0081179753,0.028255876
0.08277112,0.0080724107,0.028201103
0.083825774,0.0080217152,0.028140989
0.084880428,0.0079658889,0.028075533
0.085935081,0.0079049316,0.028004736
0.086989735,0.0078388434,0.027928598
0.088044389,0.0077676243,0.027847119
0.089099043,0.0076912744,0.027760298
0.090153697,0.0076097935,0.027668137
0.091208351,0.0075231817,0.027570634
0.092263005,0.0074314391,0.027467789
0.093317659,0.0073345656,0.027359604
0.094372313,0.0072325611,0.027246077
0.095426967,0.0071254258,0.027127209
0.096481621,0.0070131596,0.027003
0.097536275,0.0068957624,0.026873449
0.098590928,0.0067732344,0.026738557
0.099645582,0.0066455755,0.026598325
0.10070024,0.0065127857,0.02645275
0.10175489,0.006374865,0.026301835
0.10280954,0.0062318134,0.026145578
0.1038642,0.0060836309,0.02598398
0.10491885,0.0059303175,0.025817041
0.10597351,0.0057718733,0.025644761
0.10702816,0.0056082981,0.025467139
0.10808281,0.005439592,0.025284176
0.10913747,0.005265755,0.025095872
0.11019212,0.0050867872,0.024902227
0.11124678,0.0049026884,0.02470324
0.11230143,0.0047134588,0.024498912
0.11335608,0.0045190983,0.024289243
0.11441074,0.0043196068,0.024074233
0.11546539,0.0041149845,0.023853881
0.11652004,0.0039052313,0.023628188
0.1175747,0.0036903471,0.023397154
0.11862935,0.0034703321,0.023160779
0.11968401,0.0032451862,0.022919063
0.12073866,0.0030149094,0.022672005
0.12179331,0.0027795017,0.022419606
